time,temperature_2m,precipitation,wind_speed_10m
2025-01-01 00:00:00,5.8,0.0,2.3
2025-01-01 01:00:00,5.9,0.0,0.30000000000000004
2025-01-01 02:00:00,6.3,0.0,4.8
2025-01-01 03:00:00,6.1,0.0,7.8
2025-01-01 04:00:00,5.7,0.1,8.3
2025-01-01 05:00:00,5.3,0.3,11.3
2025-01-01 06:00:00,4.9,0.1,12.5
2025-01-01 07:00:00,4.8,0.0,6.9
2025-01-01 08:00:00,4.6,0.0,4.5
2025-01-01 09:00:00,4.7,0.0,0.8
2025-01-01 10:00:00,5.1,0.1,4.0
2025-01-01 11:00:00,4.2,0.3,12.9
2025-01-01 12:00:00,3.5,0.2,9.9
2025-01-01 13:00:00,3.5,0.4,3.9
2025-01-01 14:00:00,3.7,0.4,6.6
2025-01-01 15:00:00,3.8,0.0,8.0
2025-01-01 16:00:00,4.1,0.0,8.9
2025-01-01 17:00:00,4.3,0.0,8.3
2025-01-01 18:00:00,4.8,0.0,7.1
2025-01-01 19:00:00,5.2,0.0,5.1
2025-01-01 20:00:00,6.2,0.0,3.0
2025-01-01 21:00:00,6.8,0.0,3.0
2025-01-01 22:00:00,7.2,0.0,4.4
2025-01-01 23:00:00,7.2,0.0,5.0
2025-01-02 00:00:00,6.7,0.0,5.3
2025-01-02 01:00:00,5.7,0.0,3.5
2025-01-02 02:00:00,5.6,0.0,4.4
2025-01-02 03:00:00,5.3,0.0,3.3
2025-01-02 04:00:00,5.1,0.0,3.7
2025-01-02 05:00:00,5.1,0.0,5.5
2025-01-02 06:00:00,4.1,0.0,4.8
2025-01-02 07:00:00,4.2,0.0,6.7
2025-01-02 08:00:00,3.5,0.0,7.9
2025-01-02 09:00:00,3.2,0.0,6.1
2025-01-02 10:00:00,2.8,0.0,4.9
2025-01-02 11:00:00,3.5,0.0,5.8
2025-01-02 12:00:00,3.9,0.0,6.1
2025-01-02 13:00:00,5.2,0.0,3.4
2025-01-02 14:00:00,5.5,0.0,5.8
2025-01-02 15:00:00,5.7,0.0,7.4
2025-01-02 16:00:00,5.6,0.3,8.7
2025-01-02 17:00:00,5.6,0.3,10.0
2025-01-02 18:00:00,5.7,0.1,10.1
2025-01-02 19:00:00,6.1,0.1,8.3
2025-01-02 20:00:00,6.6,0.1,6.9
2025-01-02 21:00:00,6.8,0.1,7.5
2025-01-02 22:00:00,7.1,0.4,7.9
2025-01-02 23:00:00,6.9,0.4,7.9
2025-01-03 00:00:00,6.7,0.2,8.8
2025-01-03 01:00:00,6.2,0.4,15.0
2025-01-03 02:00:00,6.2,0.0,14.0
2025-01-03 03:00:00,6.3,0.0,10.3
2025-01-03 04:00:00,6.3,0.0,5.1
2025-01-03 05:00:00,5.2,0.0,3.9
2025-01-03 06:00:00,4.9,0.0,5.5
2025-01-03 07:00:00,4.7,0.0,6.6
2025-01-03 08:00:00,4.2,0.0,7.5
2025-01-03 09:00:00,3.9,0.0,6.4
2025-01-03 10:00:00,3.8,0.0,6.6
2025-01-03 11:00:00,3.8,0.0,7.5
2025-01-03 12:00:00,4.2,0.0,8.4
2025-01-03 13:00:00,5.5,0.1,10.5
2025-01-03 14:00:00,5.8,0.4,10.0
2025-01-03 15:00:00,5.3,1.1,9.8
2025-01-03 16:00:00,5.3,1.1,6.6
2025-01-03 17:00:00,5.4,1.3,9.7
2025-01-03 18:00:00,5.9,1.5,10.3
2025-01-03 19:00:00,6.2,1.8,8.8
2025-01-03 20:00:00,6.4,1.7000000000000002,8.2
2025-01-03 21:00:00,7.1,1.2,14.4
2025-01-03 22:00:00,7.3,0.3,17.1
2025-01-03 23:00:00,7.4,0.5,15.5
2025-01-04 00:00:00,7.1,0.8,7.7
2025-01-04 01:00:00,7.1,0.0,9.6
2025-01-04 02:00:00,6.7,0.1,6.5
2025-01-04 03:00:00,5.9,0.0,3.5
2025-01-04 04:00:00,5.8,0.2,4.9
2025-01-04 05:00:00,5.7,0.0,4.6
2025-01-04 06:00:00,5.2,0.0,4.8
2025-01-04 07:00:00,4.7,0.0,5.0
2025-01-04 08:00:00,4.1,0.0,4.0
2025-01-04 09:00:00,4.2,0.0,3.3
2025-01-04 10:00:00,5.0,0.0,7.0
2025-01-04 11:00:00,4.8,0.0,6.6
2025-01-04 12:00:00,5.3,0.0,4.2
2025-01-04 13:00:00,5.6,0.0,6.9
2025-01-04 14:00:00,5.8,0.0,8.0
2025-01-04 15:00:00,5.8,0.3,7.1
2025-01-04 16:00:00,6.0,0.2,10.2
2025-01-04 17:00:00,6.3,0.0,11.0
2025-01-04 18:00:00,6.8,0.0,10.1
2025-01-04 19:00:00,7.1,0.0,8.9
2025-01-04 20:00:00,8.0,0.0,9.3
2025-01-04 21:00:00,8.2,0.1,6.4
2025-01-04 22:00:00,8.2,0.9,9.9
2025-01-04 23:00:00,8.1,1.3,13.5
2025-01-05 00:00:00,7.9,1.0,18.5
2025-01-05 01:00:00,7.7,0.8,17.4
2025-01-05 02:00:00,7.7,0.4,17.4
2025-01-05 03:00:00,7.2,0.5,13.9
2025-01-05 04:00:00,6.8,1.4,13.1
2025-01-05 05:00:00,6.6,0.4,9.5
2025-01-05 06:00:00,6.5,0.6,7.6
2025-01-05 07:00:00,6.6,0.4,9.9
2025-01-05 08:00:00,6.6,0.4,10.5
2025-01-05 09:00:00,6.7,0.3,15.0
2025-01-05 10:00:00,7.1,0.1,11.4
2025-01-05 11:00:00,7.4,0.0,9.9
2025-01-05 12:00:00,7.3,0.0,7.5
2025-01-05 13:00:00,8.4,0.0,8.5
2025-01-05 14:00:00,8.4,0.0,7.0
2025-01-05 15:00:00,8.6,0.0,9.1
2025-01-05 16:00:00,8.6,0.0,5.1
2025-01-05 17:00:00,8.8,0.0,3.3
2025-01-05 18:00:00,9.2,0.0,2.3
2025-01-05 19:00:00,9.3,0.0,1.0
2025-01-05 20:00:00,9.4,0.0,0.9
2025-01-05 21:00:00,9.5,0.0,2.9
2025-01-05 22:00:00,9.7,0.0,3.6
2025-01-05 23:00:00,9.8,0.0,2.2
2025-01-06 00:00:00,9.4,0.0,0.6000000000000001
2025-01-06 01:00:00,8.9,0.1,1.5
2025-01-06 02:00:00,8.6,0.1,2.2
2025-01-06 03:00:00,8.6,0.0,4.7
2025-01-06 04:00:00,8.6,0.0,9.2
2025-01-06 05:00:00,8.6,0.0,11.2
2025-01-06 06:00:00,8.4,0.0,11.3
2025-01-06 07:00:00,7.9,0.0,11.5
2025-01-06 08:00:00,7.5,0.0,15.8
2025-01-06 09:00:00,7.1,0.0,17.1
2025-01-06 10:00:00,6.9,0.0,15.5
2025-01-06 11:00:00,6.7,0.0,15.1
2025-01-06 12:00:00,6.4,0.0,13.3
2025-01-06 13:00:00,6.6,0.0,12.0
2025-01-06 14:00:00,6.3,0.0,11.2
2025-01-06 15:00:00,6.5,0.0,12.7
2025-01-06 16:00:00,6.2,0.0,11.7
2025-01-06 17:00:00,5.8,0.0,11.2
2025-01-06 18:00:00,6.2,0.0,12.0
2025-01-06 19:00:00,6.7,0.0,9.1
2025-01-06 20:00:00,7.3,0.0,9.7
2025-01-06 21:00:00,8.1,0.0,8.5
2025-01-06 22:00:00,8.4,0.0,10.8
2025-01-06 23:00:00,8.3,0.0,8.8
2025-01-07 00:00:00,7.7,0.0,4.2
2025-01-07 01:00:00,6.2,0.0,8.6
2025-01-07 02:00:00,5.7,0.0,7.1
2025-01-07 03:00:00,5.1,0.0,7.1
2025-01-07 04:00:00,4.7,0.0,5.6
2025-01-07 05:00:00,4.2,0.0,4.6
2025-01-07 06:00:00,4.0,0.0,5.5
2025-01-07 07:00:00,3.8,0.0,6.5
2025-01-07 08:00:00,3.4,0.0,5.5
2025-01-07 09:00:00,3.0,0.0,3.1
2025-01-07 10:00:00,2.6,0.0,3.8
2025-01-07 11:00:00,2.2,0.0,4.8
2025-01-07 12:00:00,1.9,0.0,1.4
2025-01-07 13:00:00,2.7,0.0,3.7
2025-01-07 14:00:00,2.2,0.0,4.8
2025-01-07 15:00:00,2.3,0.0,3.9
2025-01-07 16:00:00,2.0,0.0,5.4
2025-01-07 17:00:00,2.7,0.0,7.7
2025-01-07 18:00:00,3.5,0.0,6.5
2025-01-07 19:00:00,4.6,0.0,2.9
2025-01-07 20:00:00,4.8,0.0,3.6
2025-01-07 21:00:00,4.8,0.0,3.5
2025-01-07 22:00:00,5.2,0.0,4.4
2025-01-07 23:00:00,5.6,0.0,5.4
